LineItem,Parent,GrandParent
Employer Taxes - Other,TOTAL STAFF COST,STAFF COST
Equipment Rental,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Event Expenses,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Event Income,Other Income,Other Income
Exchange Differences,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Extra/Short Receipts,REVENUE,REVENUE
Accounting Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Advertising,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Advertising and Promotion - Other,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Amortization Expense,P & L Depreciation & Amortization,P & L Depreciation & Amortization
Audit Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Auto Expenses,TRAVEL AND ENTERTAINMENT,TRAVEL AND ENTERTAINMENT
Bank Carges,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
BOH - Other,BOH - Other,TOTAL STAFF COST
Branding & Design,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
CAM Charges,OCCUPANCY,OCCUPANCY
Chargebacks,REVENUE,REVENUE
China,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Cleaning Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Commercial Rent Tax,OCCUPANCY,OCCUPANCY
Commission,OTHER STAFF COST,OTHER STAFF COST
Commission Expenses,TOTAL FINANCIAL COST,TOTAL FINANCIAL COST
Complimentry Cost,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Consulting Fee,Consulting Fee,STAFF COST
Contract Labor - Other,OTHER STAFF COST,OTHER STAFF COST
Corporate Tax Expense,FINANCIAL COST,FINANCIAL COST
Electricity,OCCUPANCY,OCCUPANCY
Employee Benefits - Other,OTHER STAFF COST,OTHER STAFF COST
Employee Parking / Bus Passes,OTHER EMPLOYEE EXPENSES,OTHER EMPLOYEE EXPENSES
Employer Taxes - Other,TOTAL STAFF COST,STAFF COST
Equipment Rental,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Event Expenses,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Event Income,Other Income,Other Income
Exchange Differences,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Extra/Short Receipts,REVENUE,REVENUE
Federal FUTA,TOTAL STAFF COST,STAFF COST
Fees Income,REVENUE,REVENUE
Finance Charges,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Flowers & Candles,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
FOH Supplies & Accessories,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Gas,OCCUPANCY,OCCUPANCY
General and Administrative Exps - Other,PROFESSIONAL FEES,PROFESSIONAL FEES
Glassware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Guaranteed Payments,TOTAL STAFF COST,STAFF COST
Interest Expense - Other,Other Income & Expenses,Other Income & Expenses
Interest Income,TOTAL OTHER INCOME,TOTAL OTHER INCOME
Interest on Tax/Penalties,Interest on Tax/Penalties,G&A
Interest Paid on Loans - 1,Other Income & Expenses,Other Income & Expenses
Interest Paid on Loans - 2,Other Expenses,Other Expenses
Internet/Email,TOTAL COMMUNICATION,TOTAL COMMUNICATION
IT Cost,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Labor Cost - Other,Labor Cost - Other,STAFF COST
Legal Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Liability Insurance,INSURANCE EXPENSES,INSURANCE EXPENSES
"License, Permits & Filling Fees",OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Linen & Laundry,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Lodging,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Mealbreak penalties,OTHER STAFF COST,OTHER STAFF COST
Meals & Entertainment,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Medical,Total Employer Benefits,STAFF COST
Medicare,Employer Taxes,STAFF COST
Menus,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Miscellaneous,ADMINISTRATION,ADMINISTRATION
Music,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
NY Disability Payable Leave,OTHER STAFF COST,OTHER STAFF COST
NY MTA,TOTAL EMPLOYER TAXES,EMPLOYER TAXES
NY Paid Family Leave,OTHER STAFF COST,OTHER STAFF COST
Ny Re-employment,Total Employer Taxes,STAFF COST
OASDI,Total Employer Taxes,STAFF COST
Occupancy Costs - Other,OCCUPANCY,OCCUPANCY
Office Supplies/Stationery,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Office Supplies/Stationery,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Other Employee Expenses - Other,OTHER EMPLOYEE EXPENSES,OTHER EMPLOYEE EXPENSES
Other Expenses - Other,Other Income & Expenses,Other Income & Expenses
Other Financial Costs - Other,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Other Income,Other Income & Expenses,Other Income & Expenses
Other Income - Other,Other Income,Other Income
Other Staff Costs - Other,OTHER STAFF COST,OTHER STAFF COST
P & L Depreciation,PL Depreciation & Amortization,PL Depreciation & Amortization
Packaging Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Paper Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Payroll Processing Charges,FINANCIAL COST,FINANCIAL COST
Penalties,FINANCIAL COST,FINANCIAL COST
Percentage Rent,OCCUPANCY,OCCUPANCY
Personal/Tangible Property Tax,OCCUPANCY COST,OCCUPANCY COST
Pest Control,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Photgraphy Expenses,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Postage & Courier,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Pre-opening Costs,Other Expenses,Other Expenses
Public Relations,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
R & D,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Real Estate Escalation Tax,OCCUPANCY,OCCUPANCY
Rent,OCCUPANCY,OCCUPANCY
Repairs Equipment,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Repairs General,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Revenue - 3rd Party Diff,REVENUE,REVENUE
Revenue - Beer,TOTAL REVENUE,REVENUE
Revenue - Comps,REVENUE,REVENUE
Revenue - Food,REVENUE,REVENUE
Revenue - Liquor,REVENUE,REVENUE
Revenue - NA Beverages,REVENUE,REVENUE
Revenue - Other,TOTAL REVENUE,REVENUE
Revenue - Retails,REVENUE,REVENUE
Revenue - Sake,REVENUE,REVENUE
Revenue - Wines,REVENUE,REVENUE
Rounding Differences,Other Income & Expenses,Other Income & Expenses
Royalties,FINANCIAL COST,FINANCIAL COST
Safety & Training Programs,OTHER EMPLOYEE EXPENSES,OTHER EMPLOYEE EXPENSES
Sales Adjustments - Other,Sales Adjustments - Other,Other Income
Sales and Use Tax,OTHER FINANCIAL COST,OTHER FINANCIAL COST
Security And Alarm,UTILITIES,UTILITIES
Severance Pay,OTHER STAFF COST,STAFF COST
Silverware,TOTAL SUPPLIES & CLEANING,TOTAL SUPPLIES & CLEANING
Social Security,Total Employer Taxes,Total Employer Taxes
Staff Accommodation/Relocation,OTHER STAFF COST,OTHER STAFF COST
Staff First Aid,OTHER STAFF COST,OTHER STAFF COST
Staff Insurance - Other,Total Employer Benefits,STAFF COST
Staff Meals,OTHER STAFF COST,OTHER STAFF COST
Staff Recruitment,OTHER STAFF COST,OTHER STAFF COST
Staff relations/morale,OTHER EMPLOYEE EXPENSES,OTHER EMPLOYEE EXPENSES
Supplies and Maintenanc - Other,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Tangible Property Taxes,FINANCIAL COST,FINANCIAL COST
Tax Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Taxi Charges & Local Travel,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Tip Expenses,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Total Cost of Sales - Beer,Total Cost of Sales - Beer,COST OF GOODS SOLD
Total Cost of Sales - Beer,Total Cost of Sales - Beer,COST OF GOODS SOLD
Total Cost of Sales - Beer,Total Cost of Sales - Beer,COST OF GOODS SOLD
Total Cost of Sales - Food,Total Cost of Sales - Food,COST OF GOODS SOLD
Total Cost of Sales - Food,Total Cost of Sales - Food,COST OF GOODS SOLD
Total Cost of Sales - Food,Total Cost of Sales - Food,COST OF GOODS SOLD
Total Cost of Sales - Liquor,Total Cost of Sales - Liquor,COST OF GOODS SOLD
Total Cost of Sales - Liquor,Total Cost of Sales - Liquor,COST OF GOODS SOLD
Total Cost of Sales - Liquor,Total Cost of Sales - Liquor,COST OF GOODS SOLD
Total Cost of Sales - NA Beverages,Total Cost of Sales - NA Beverages,COST OF GOODS SOLD
Total Cost of Sales - NA Beverages,Total Cost of Sales - NA Beverages,COST OF GOODS SOLD
Total Cost of Sales - NA Beverages,Total Cost of Sales - NA Beverages,COST OF GOODS SOLD
Total Cost of Sales - Other Beverages,Total Cost of Sales - Other Beverages,COST OF GOODS SOLD
Total Cost of Sales - Other Beverages,Total Cost of Sales - Other Beverages,COST OF GOODS SOLD
Total Cost of Sales - Retails,Total Cost of Sales - Retails,COST OF GOODS SOLD
Total Cost of Sales - Retails,Total Cost of Sales - Retails,COST OF GOODS SOLD
Total Cost of Sales - Sake,Total Cost of Sales - Sake,COST OF GOODS SOLD
Total Cost of Sales - Wine,Total Cost of Sales - Wine,COST OF GOODS SOLD
Total Cost of Sales - Wine,Total Cost of Sales - Wine,COST OF GOODS SOLD
Total Cost of Sales - Wine,Total Cost of Sales - Wine,COST OF GOODS SOLD
Total Fringe Benefits,OTHER STAFF COST,OTHER STAFF COST
Total Wages - B.O.H. Hourly,Total Wages - B.O.H. Hourly,TOTAL STAFF COST
Total Wages - B.O.H. Hourly,Total Wages - B.O.H. Hourly,TOTAL STAFF COST
Total Wages - B.O.H. Hourly,Total Wages - B.O.H. Hourly,TOTAL STAFF COST
Total Wages - B.O.H. Hourly,Total Wages - B.O.H. Hourly,TOTAL STAFF COST
Total Wages - B.O.H. Hourly - OT,Total Wages - B.O.H. Hourly - OT,TOTAL STAFF COST
Total Wages - B.O.H. Hourly - OT,Total Wages - B.O.H. Hourly - OT,TOTAL STAFF COST
Total Wages - B.O.H. Salaried,Total Wages - B.O.H. Salaried,TOTAL STAFF COST
Total Wages - B.O.H. Salaried,Total Wages - B.O.H. Salaried,TOTAL STAFF COST
Total Wages - B.O.H. Salaried,Total Wages - B.O.H. Salaried,TOTAL STAFF COST
Total Wages - B.O.H. Salaried,Total Wages - B.O.H. Salaried,TOTAL STAFF COST
Total Wages - B.O.H. Salaried,Total Wages - B.O.H. Salaried,TOTAL STAFF COST
Total Wages - F.O.H. Hourly,Total Wages - F.O.H. Hourly,TOTAL STAFF COST
Total Wages - F.O.H. Hourly,Total Wages - F.O.H. Hourly,TOTAL STAFF COST
Total Wages - F.O.H. Hourly,Total Wages - F.O.H. Hourly,TOTAL STAFF COST
Total Wages - F.O.H. Hourly,Total Wages - F.O.H. Hourly,TOTAL STAFF COST
Total Wages - F.O.H. Hourly,Total Wages - F.O.H. Hourly,TOTAL STAFF COST
Total Wages - F.O.H. Hourly,Total Wages - F.O.H. Hourly,TOTAL STAFF COST
Total Wages - F.O.H. Hourly - OT,Total Wages - F.O.H. Hourly - OT,TOTAL STAFF COST
Total Wages - F.O.H. Hourly - OT,Total Wages - F.O.H. Hourly - OT,TOTAL STAFF COST
Total Wages - F.O.H. Hourly - OT,Total Wages - F.O.H. Hourly - OT,TOTAL STAFF COST
Total Wages - F.O.H. Hourly - OT,Total Wages - F.O.H. Hourly - OT,TOTAL STAFF COST
Total Wages - F.O.H. Hourly - OT,Total Wages - F.O.H. Hourly - OT,TOTAL STAFF COST
Total Wages - F.O.H. Hourly - OT,Total Wages - F.O.H. Hourly - OT,TOTAL STAFF COST
Total Wages - F.O.H. Hourly - OT,Total Wages - F.O.H. Hourly - OT,TOTAL STAFF COST
Total Wages - F.O.H. Salaried,Total Wages - F.O.H. Salaried,TOTAL STAFF COST
Trash/Waste Removal Service,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Travel and Entertainment - Other,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Umbrella Insurance,INSURANCE EXPENSES,INSURANCE EXPENSES
Uncategorized Exp/Ask My Acc,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Under/Over,Other Expenses,Other Expenses
Utilities - Other,UTILITIES,UTILITIES
Vacation/PTO accruals,OTHER STAFF COST,OTHER STAFF COST
Wages -Casual labor-1099,CONTRACT LABOR,CONTRACT LABOR
Water,OCCUPANCY,OCCUPANCY
Workers' Compensation Insurance,OTHER STAFF COST,OTHER STAFF COST
TOTAL CONTRACT LABOR,CONTRACT LABOR,TOTAL OTHER EXPENSE
TOTAL COST OF GOODS SOLD,TOTAL COST OF GOODS SOLD,TOTAL COST OF GOODS SOLD
Total Cost of Sales - Beer,Total Cost of Sales - Beer,COST OF GOODS SOLD
Total Cost of Sales - Food,Total Cost of Sales - Food,COST OF GOODS SOLD
Total Cost of Sales - Liquor,Total Cost of Sales - Liquor,COST OF GOODS SOLD
Total Cost of Sales - NA Beverages,Total Cost of Sales - NA Beverages,COST OF GOODS SOLD
Total Cost of Sales - Other Beverages,Total Cost of Sales - Other Beverages,COST OF GOODS SOLD
Total Cost of Sales - Retails,Total Cost of Sales - Retails,COST OF GOODS SOLD
Total Cost of Sales - Sake,Total Cost of Sales - Sake,COST OF GOODS SOLD
Total Cost of Sales - Wine,Total Cost of Sales - Wine,COST OF GOODS SOLD
TOTAL EMPLOYER TAXES,TOTAL EMPLOYER TAXES,TOTAL EMPLOYER TAXES
TOTAL OCCUPANCY COST,TOTAL OCCUPANCY,OCCUPANCY COST
TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES
Total Othe Income,Total Other Income,OTHER INCOME
TOTAL OTHER EMPLOYEE EXPENSES,OTHER EMPLOYEE EXPENSES,OTHER STAFF COST
Total Other Expenses,Total Other Expenses,OTHER EXPENSES
TOTAL OTHER FINANCIAL COSTS,TOTAL OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
TOTAL PROFESSIONAL CHARGES,TOTAL PROFESSIONAL CHARGES,TOTAL PROFESSIONAL CHARGES
TOTAL PROFESSIONAL FEES,TOTAL PROFESSIONAL FEES,TOTAL PROFESSIONAL FEES
TOTAL REVENUE,TOTAL REVENUE,REVENUE
TOTAL STAFF COST,TOTAL STAFF COST,TOTAL STAFF COST
TOTAL SUPPLIES AND MAINTENANCE,TOTAL SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
TOTAL TRAVEL AND ENTERTAINMENT,TOTAL TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Total Wages - B.O.H. Hourly,Total Wages - B.O.H. Hourly,TOTAL STAFF COST
Total Wages - B.O.H. Hourly - OT,Total Wages - B.O.H. Hourly - OT,TOTAL STAFF COST
Total Wages - B.O.H. Salaried,Total Wages - B.O.H. Salaried,TOTAL STAFF COST
Total Wages - F.O.H. Hourly - OT,Total Wages - F.O.H. Hourly - OT,TOTAL STAFF COST
Total Wages - F.O.H. Salaried,Total Wages - F.O.H. Salaried,TOTAL STAFF COST
